ء	ʔ
مبلغ	m a b a l a ɣ
مبلغ	m a b a l a ɣ
مبهم	m a b a h a m
مبين	m a b iː n
مبين	m a b iː n
مبين	m a b iː n
مت	m a t
متأثر	m a t a ʔa a θ a r
متأخرا	m a t a ʔa a x a r aː
متأسف	m a t a ʔa a s a f
متأن	m a t a ʔa a n
متأهل	m a t a ʔa a h a l
متاح	m a t aː ħ
متارك	m a t aː r a k
متاركة	m a t aː r a k a
متاع	m a t aː ʕ
متانة	m a t aː n a
متبسم	m a t a b a s a m
متبل	m a t a b a l
متة	m a t a
متتابع	m a t a t aː b a ʕ
متتال	m a t a t aː l
متجاوز	m a t a d͡ʒ aː uː z
متجر	m a t a d͡ʒ a r
متحد	m a t a ħ a d
متحرك	m a t a ħ a r a k
متحف	m a t a ħ a f
متحف	m a t a ħ a f
متحكم	m a t a ħ a k a m
متحكم	m a t a ħ a k a m
متحمس	m a t a ħ a m a s
متخاصم	m a t a x aː sˤ a m
متخصص	m a t a x a sˤ a sˤ
متخف	m a t a x a f
متخلف	m a t a x a l a f
متخلف	m a t a x a l a f
متدافق	m a t a d aː f a q
متدفق	m a t a d a f a q
متدين	m a t a d iː n
متر	m a t a r
متراس	m a t a r aː s
مترجم	m a t a r a d͡ʒ a m
مترجم	m a t a r a d͡ʒ a m
متردد	m a t a r a d a d
متروك	m a t a r uː k
متزاوج	m a t a z aː uː d͡ʒ
متزوج	m a t a z uː d͡ʒ
متسابق	m a t a s aː b a q
متسامح	m a t a s aː m a ħ
متساهل	m a t a s aː h a l
متساو	m a t a s aː uː
متسلط	m a t a s a l a tˤ
متسول	m a t a s uː l
متشابه	m a t a ʃ aː b a h
متشكر	m a t a ʃ a k a r
متصل	m a t a sˤ a l
متصور	m a t a sˤ uː r
متصور	m a t a sˤ uː r
متطرف	m a t a tˤ a r a f
متظاهر	m a t a ðˤ aː h a r
متعاقب	m a t a ʕ aː q a b
متعب	m a t a ʕ a b
متعة	m a t a ʕ a
متعجرف	m a t a ʕ a d͡ʒ a r a f
متعد	m a t a ʕ a d
متعدد	m a t a ʕ a d a d
متعدي	m a t a ʕ a d iː
متعصب	m a t a ʕ a sˤ a b
متعفن	m a t a ʕ a f a n
متعقب	m a t a ʕ a q a b
متعلق	m a t a ʕ a l a q
متعلم	m a t a ʕ a l a m
متعهد	m a t a ʕ a h a d
متغلب	m a t a ɣ a l a b
متغلبة	m a t a ɣ a l a b a
متغير	m a t a ɣ iː r
متفجرات	m a t a f a d͡ʒ a r aː t
متفرغ	m a t a f a r a ɣ
متفرق	m a t a f a r a q
متفرقات	m a t a f a r a q aː t
متفق	m a t a f a q
متفق	m a t a f a q
متفكر	m a t a f a k a r
متقابل	m a t a q aː b a l
متقاعد	m a t a q aː ʕ a d
متكامل	m a t a k aː m a l
متكبر	m a t a k a b a r
متكدس	m a t a k a d a s
متكلم	m a t a k a l a m
متلوث	m a t a l uː θ
متلون	m a t a l uː n
متماد	m a t a m aː d
متماد	m a t a m aː d
متمرد	m a t a m a r a d
متميز	m a t a m iː z
متناسب	m a t a n aː s a b
متناول	m a t a n aː uː l
متناول	m a t a n aː uː l
متنح	m a t a n a ħ
متنزه	m a t a n a z a h
متنزه	m a t a n a z a h
متنقض	m a t a n a q a dˤ
متنوع	m a t a n uː ʕ
متواصل	m a t uː aː sˤ a l
متواضع	m a t uː aː dˤ a ʕ
متوال	m a t uː aː l
متوج	m a t uː d͡ʒ
متوسط	m a t uː s a tˤ
متوصل	m a t uː sˤ a l
متوفر	m a t uː f a r
متوفى	m a t uː f aː
متوكل	m a t uː k a l
متول	m a t uː l
متولد	m a t uː l a d
متى	m a t aː
متى	m a t aː
متين	m a t iː n
مثابة	m a θ aː b a
مثار	m a θ aː r
مثال	m a θ aː l
مثانة	m a θ aː n a
مثبت	m a θ a b a t
مثبت	m a θ a b a t
مثبت	m a θ a b a t
مثبت	m a θ a b a t
مثبط	m a θ a b a tˤ
مثرد	m a θ a r a d
مثرد	m a θ a r a d
مثقال	m a θ a q aː l
مثقب	m a θ a q a b
مثلا	m a θ a l aː
مثلث	m a θ a l a θ
مثلجات	m a θ a l a d͡ʒ aː t
مثلجة	m a θ a l a d͡ʒ a
مثلي	m a θ a l iː
مثمر	m a θ a m a r
مثنان	m a θ a n aː n
مثنان	m a θ a n aː n
مثنوي	m a θ a n uː iː
مثنوية	m a θ a n uː iː a
مثير	m a θ iː r
مجادلة	m a d͡ʒ aː d a l a
مجاز	m a d͡ʒ aː z
مجازاة	m a d͡ʒ aː z aː a
مجازر	m a d͡ʒ aː z a r
مجازفة	m a d͡ʒ aː z a f a
مجازي	m a d͡ʒ aː z iː
مجازيا	m a d͡ʒ aː z iː aː
مجاعة	m a d͡ʒ aː ʕ a
مجال	m a d͡ʒ aː l
مجالد	m a d͡ʒ aː l a d
مجاهد	m a d͡ʒ aː h a d
مجاهر	m a d͡ʒ aː h a r
مجاهرة	m a d͡ʒ aː h a r a
مجاور	m a d͡ʒ aː uː r
مجبور	m a d͡ʒ a b uː r
مجدد	m a d͡ʒ a d a d
مجددا	m a d͡ʒ a d a d aː
مجر	m a d͡ʒ a r
مجراف	m a d͡ʒ a r aː f
مجرب	m a d͡ʒ a r a b
مجرة	m a d͡ʒ a r a
مجرد	m a d͡ʒ a r a d
مجرفة	m a d͡ʒ a r a f a
مجرم	m a d͡ʒ a r a m
مجري	m a d͡ʒ a r iː
مجري	m a d͡ʒ a r iː
مجريط	m a d͡ʒ a r iː tˤ
مجزر	m a d͡ʒ a z a r
مجزرة	m a d͡ʒ a z a r a
مجس	m a d͡ʒ a s
مجس	m a d͡ʒ a s
مجس	m a d͡ʒ a s
مجسم	m a d͡ʒ a s a m
مجسمة	m a d͡ʒ a s a m a
مجفل	m a d͡ʒ a f a l
مجفل	m a d͡ʒ a f a l
مجل	m a d͡ʒ a l
مجل	m a d͡ʒ a l
مجلة	m a d͡ʒ a l a
مجلخة	m a d͡ʒ a l a x a
مجلس	m a d͡ʒ a l a s
مجلى	m a d͡ʒ a l aː
مجمد	m a d͡ʒ a m a d
مجمر	m a d͡ʒ a m a r
مجمر	m a d͡ʒ a m a r
مجمع	m a d͡ʒ a m a ʕ
مجمع	m a d͡ʒ a m a ʕ
مجموع	m a d͡ʒ a m uː ʕ
مجموعة	m a d͡ʒ a m uː ʕ a
مجن	m a d͡ʒ a n
مجنون	m a d͡ʒ a n uː n
مجنون	m a d͡ʒ a n uː n
مجنون	m a d͡ʒ a n uː n
مجهر	m a d͡ʒ a h a r
مجهز	m a d͡ʒ a h a z
مجهود	m a d͡ʒ a h uː d
مجهور	m a d͡ʒ a h uː r
مجوهرات	m a d͡ʒ uː h a r aː t
مجيء	m a d͡ʒ iː ʔ
محا	m a ħ aː
محادث	m a ħ aː d a θ
محادث	m a ħ aː d a θ
محادثة	m a ħ aː d a θ a
محادثة	m a ħ aː d a θ a
محاذاة	m a ħ aː ð aː a
محار	m a ħ aː r
محارب	m a ħ aː r a b
محاربة	m a ħ aː r a b a
محاسبة	m a ħ aː s a b a
محاصر	m a ħ aː sˤ a r
محاصر	m a ħ aː sˤ a r
محاصرة	m a ħ aː sˤ a r a
محاضر	m a ħ aː dˤ a r
محاضر	m a ħ aː dˤ a r
محافظ	m a ħ aː f a ðˤ
محافظ	m a ħ aː f a ðˤ
محافظ	m a ħ aː f a ðˤ
محافظة	m a ħ aː f a ðˤ a
محافظة	m a ħ aː f a ðˤ a
محاق	m a ħ aː q
محاق	m a ħ aː q
محاق	m a ħ aː q
محاق	m a ħ aː q
محاقر	m a ħ aː q a r
محاكمة	m a ħ aː k a m a
محام	m a ħ aː m
محاور	m a ħ aː uː r
محاور	m a ħ aː uː r
محاولة	m a ħ aː uː l a
محايد	m a ħ aː iː d
محب	m a ħ a b
محب	m a ħ a b
محبة	m a ħ a b a
محبة	m a ħ a b a
محبة	m a ħ a b a
محبس	m a ħ a b a s
محبس	m a ħ a b a s
محبس	m a ħ a b a s
محبوس	m a ħ a b uː s
محتاج	m a ħ a t aː d͡ʒ
محتار	m a ħ a t aː r
محترف	m a ħ a t a r a f
محترم	m a ħ a t a r a m
محترم	m a ħ a t a r a m
محتشم	m a ħ a t a ʃ a m
محتكر	m a ħ a t a k a r
محتمل	m a ħ a t a m a l
محتويات	m a ħ a t uː iː aː t
محجم	m a ħ a d͡ʒ a m
محجمة	m a ħ a d͡ʒ a m a
محجوب	m a ħ a d͡ʒ uː b
محدث	m a ħ a d a θ
محدلة	m a ħ a d a l a
محدود	m a ħ a d uː d
محراب	m a ħ a r aː b
محراث	m a ħ a r aː θ
محراث	m a ħ a r aː θ
محرر	m a ħ a r a r
محرر	m a ħ a r a r
محرقة	m a ħ a r a q a
محرقة	m a ħ a r a q a
محرك	m a ħ a r a k
محركات	m a ħ a r a k aː t
محرم	m a ħ a r a m
محروق	m a ħ a r uː q
محروقات	m a ħ a r uː q aː t
محروم	m a ħ a r uː m
محزون	m a ħ a z uː n
محسة	m a ħ a s a
محسن	m a ħ a s a n
محسن	m a ħ a s a n
محسن	m a ħ a s a n
محشى	m a ħ a ʃ aː
محصل	m a ħ a sˤ a l
محصل	m a ħ a sˤ a l
محصلة	m a ħ a sˤ a l a
محصن	m a ħ a sˤ a n
محصور	m a ħ a sˤ uː r
محطة	m a ħ a tˤ a
محظور	m a ħ a ðˤ uː r
محفظة	m a ħ a f a ðˤ a
محفظة	m a ħ a f a ðˤ a
محفوظ	m a ħ a f uː ðˤ
محقر	m a ħ a q a r
محقر	m a ħ a q a r
محقق	m a ħ a q a q
محقق	m a ħ a q a q
محقق	m a ħ a q a q
محكم	m a ħ a k a m
محكمة	m a ħ a k a m a
محكوم	m a ħ a k uː m
محكومية	m a ħ a k uː m iː a
محل	m a ħ a l
محلي	m a ħ a l iː
محمد	m a ħ a m a d
محمد	m a ħ a m a d
محمد	m a ħ a m a d
محمدة	m a ħ a m a d a
محمدة	m a ħ a m a d a
محمدة	m a ħ a m a d a
محمر	m a ħ a m a r
محموم	m a ħ a m uː m
محمية	m a ħ a m iː a
محن	m a ħ a n
محنة	m a ħ a n a
محو	m a ħ uː
محول	m a ħ uː l
محى	m a ħ aː
محيار	m a ħ iː aː r
محيص	m a ħ iː sˤ
محيط	m a ħ iː tˤ
محيل	m a ħ iː l
محيي	m a ħ iː iː
مخ	m a x
مخاصم	m a x aː sˤ a m
مخاصمة	m a x aː sˤ a m a
مخاض	m a x aː dˤ
مخاط	m a x aː tˤ
مخاطر	m a x aː tˤ a r
مخافة	m a x aː f a
مخالف	m a x aː l a f
مخالفة	m a x aː l a f a
مخبأ	m a x a b a ʔa
مخبر	m a x a b a r
مخبر	m a x a b a r
مخبز	m a x a b a z
مخبز	m a x a b a z
مخبول	m a x a b uː l
مختار	m a x a t aː r
مختبئ	m a x a t a b a ʔi
مختبر	m a x a t a b a r
مخترق	m a x a t a r a q
مخترق	m a x a t a r a q
مختص	m a x a t a sˤ
مختصر	m a x a t a sˤ a r
مختصر	m a x a t a sˤ a r
مختصم	m a x a t a sˤ a m
مختف	m a x a t a f
مختلط	m a x a t a l a tˤ
مختلف	m a x a t a l a f
مخدر	m a x a d a r
مخدرات	m a x a d a r aː t
مخدوم	m a x a d uː m
مخراق	m a x a r aː q
مخرب	m a x a r a b
مخرب	m a x a r a b
مخرج	m a x a r a d͡ʒ
مخرج	m a x a r a d͡ʒ
مخرج	m a x a r a d͡ʒ
مخرج	m a x a r a d͡ʒ
مخرج	m a x a r a d͡ʒ
مخرز	m a x a r a z
مخرفة	m a x a r a f a
مخروطي	m a x a r uː tˤ iː
مخزن	m a x a z a n
مخزون	m a x a z uː n
مخصص	m a x a sˤ a sˤ
مخصصات	m a x a sˤ a sˤ aː t
مخصوص	m a x a sˤ uː sˤ
مخصوم	m a x a sˤ uː m
مخض	m a x a dˤ
مخطئ	m a x a tˤ a ʔi
مخطوب	m a x a tˤ uː b
مخطوطة	m a x a tˤ uː tˤ a
مخفر	m a x a f a r
مخفي	m a x a f iː
مخلاة	m a x a l aː a
مخلة	m a x a l a
مخلة	m a x a l a
مخلص	m a x a l a sˤ
مخلص	m a x a l a sˤ
مخلص	m a x a l a sˤ
مخلوط	m a x a l uː tˤ
مخلوق	m a x a l uː q
مخلوق	m a x a l uː q
مخلوقات	m a x a l uː q aː t
مخمل	m a x a m a l
مخمن	m a x a m a n
مخمور	m a x a m uː r
مخنث	m a x a n a θ
مخيط	m a x iː tˤ
مخيف	m a x iː f
مخيم	m a x iː m
مداخل	m a d aː x a l
مداخل	m a d aː x a l
مداخل	m a d aː x a l
مداخلة	m a d aː x a l a
مداد	m a d aː d
مدار	m a d aː r
مدافع	m a d aː f a ʕ
مدافعة	m a d aː f a ʕ a
مدام	m a d aː m
مداولة	m a d aː uː l a
مداوم	m a d aː uː m
مداومة	m a d aː uː m a
مدبر	m a d a b a r
مدبغة	m a d a b a ɣ a
مدة	m a d a
مدة	m a d a
مدة	m a d a
مدثر	m a d a θ a r
مدحلة	m a d a ħ a l a
مدخن	m a d a x a n
مدخول	m a d a x uː l
مدرسة	m a d a r a s a
مدرسة	m a d a r a s a
مدرسة	m a d a r a s a
مدرك	m a d a r a k
مدرك	m a d a r a k
مدريد	m a d a r iː d
مدع	m a d a ʕ
مدعو	m a d a ʕ uː
مدعى	m a d a ʕ aː
مدغشقر	m a d a ɣ a ʃ a q a r
مدفأ	m a d a f a ʔa
مدفأة	m a d a f a ʔa a
مدفع	m a d a f a ʕ
مدفع	m a d a f a ʕ
مدفون	m a d a f uː n
مدق	m a d a q
مدقة	m a d a q a
مدك	m a d a k
مدلجة	m a d a l a d͡ʒ a
مدني	m a d a n iː
مدنية	m a d a n iː a
مدهش	m a d a h a ʃ
مدهش	m a d a h a ʃ
مدور	m a d uː r
مدير	m a d iː r
مديرة	m a d iː r a
مديرية	m a d iː r iː a
مدينة	m a d iː n a
مديني	m a d iː n iː
مديونير	m a d iː uː n iː r
مذئذ	m a ð a ʔi a ð
مذاق	m a ð aː q
مذاق	m a ð aː q
مذاك	m a ð aː k
مذاكرات	m a ð aː k a r aː t
مذاكرة	m a ð aː k a r a
مذبحة	m a ð a b a ħ a
مذخر	m a ð a x a r
مذعان	m a ð a ʕ aː n
مذكر	m a ð a k a r
مذكر	m a ð a k a r
مذكرة	m a ð a k a r a
مذكرة	m a ð a k a r a
مذكور	m a ð a k uː r
مذلول	m a ð a l uː l
مذهب	m a ð a h a b
مذهب	m a ð a h a b
مذهب	m a ð a h a b
مذهب	m a ð a h a b
مذهب	m a ð a h a b
مذهب	m a ð a h a b
مذهبي	m a ð a h a b iː
مذهل	m a ð a h a l
مذي	m a ð iː
مذيع	m a ð iː ʕ
مر	m a r
مرآة	m a r aː a
مرأب	m a r a ʔa a b
مرأة	m a r a ʔa a
مرؤوس	m a r a ʔu uː s
مراء	m a r aː ʔ
مراء	m a r aː ʔ
مراء	m a r aː ʔ
مراجع	m a r aː d͡ʒ a ʕ
مراجع	m a r aː d͡ʒ a ʕ
مرادف	m a r aː d a f
مرارة	m a r aː r a
مرارة	m a r aː r a
مراري	m a r aː r iː
مراسل	m a r aː s a l
مراسم	m a r aː s a m
مراغة	m a r aː ɣ a
مرافق	m a r aː f a q
مرافق	m a r aː f a q
مراقبة	m a r aː q a b a
مراكش	m a r aː k a ʃ
مرام	m a r aː m
مران	m a r aː n
مراهق	m a r aː h a q
مراهقة	m a r aː h a q a
مراوغ	m a r aː uː ɣ
مراوغة	m a r aː uː ɣ a
مرب	m a r a b
مربض	m a r a b a dˤ
مربط	m a r a b a tˤ
مربع	m a r a b a ʕ
مربوط	m a r a b uː tˤ
مربى	m a r a b aː
مربي	m a r a b iː
مربية	m a r a b iː a
مرة	m a r a
مرة	m a r a
مرة	m a r a
مرتبة	m a r a t a b a
مرتد	m a r a t a d
مرتع	m a r a t a ʕ
مرتعب	m a r a t a ʕ a b
مرتفع	m a r a t a f a ʕ
مرتفع	m a r a t a f a ʕ
مرثية	m a r a θ iː a
مرجان	m a r a d͡ʒ aː n
مرجع	m a r a d͡ʒ a ʕ
مرجل	m a r a d͡ʒ a l
مرحاض	m a r a ħ aː dˤ
مرحبا	m a r a ħ a b aː
مرحبا	m a r a ħ a b aː
مرحلة	m a r a ħ a l a
مرحمة	m a r a ħ a m a
مرحوم	m a r a ħ uː m
مرحومة	m a r a ħ uː m a
مرددوش	m a r a d a d uː ʃ
مردقوش	m a r a d a q uː ʃ
مردود	m a r a d uː d
مردي	m a r a d iː
مرزبان	m a r a z a b aː n
مرزبان	m a r a z a b aː n
مرزبة	m a r a z a b a
مرزبة	m a r a z a b a
مرزبة	m a r a z a b a
مرزبة	m a r a z a b a
مرزنجوش	m a r a z a n a d͡ʒ uː ʃ
مرس	m a r a s
مرس	m a r a s
مرسة	m a r a s a
مرسم	m a r a s a m
مرسوم	m a r a s uː m
مرسين	m a r a s iː n
مرش	m a r a ʃ
مرش	m a r a ʃ
مرشة	m a r a ʃ a
مرشد	m a r a ʃ a d
مرصبان	m a r a sˤ a b aː n
مرصد	m a r a sˤ a d
مرض	m a r a dˤ
مرطبان	m a r a tˤ a b aː n
مرعش	m a r a ʕ a ʃ
مرعى	m a r a ʕ aː
مرفأ	m a r a f a ʔa
مرفه	m a r a f a h
مرفه	m a r a f a h
مرفوع	m a r a f uː ʕ
مرقاس	m a r a q aː s
مرقاس	m a r a q aː s
مرقاس	m a r a q aː s
مرقاق	m a r a q aː q
مرقة	m a r a q a
مرقد	m a r a q a d
مرقس	m a r a q a s
مرقشيتا	m a r a q a ʃ iː t aː
مرقشيثا	m a r a q a ʃ iː θ aː
مرقص	m a r a q a sˤ
مرقص	m a r a q a sˤ
مركب	m a r a k a b
مركب	m a r a k a b
مركبة	m a r a k a b a
مركيز	m a r a k iː z
مركيزة	m a r a k iː z a
مركيزية	m a r a k iː z iː a
مرماخور	m a r a m aː x uː r
مرموط	m a r a m uː tˤ
مرند	m a r a n a d
مرهق	m a r a h a q
مرهق	m a r a h a q
مرو	m a r uː
مروحة	m a r uː ħ a
مروحية	m a r uː ħ iː a
مرور	m a r uː r
مروض	m a r uː dˤ
مروض	m a r uː dˤ
مري	m a r iː
مري	m a r iː
مري	m a r iː
مريء	m a r iː ʔ
مريب	m a r iː b
مرية	m a r iː a
مرية	m a r iː a
مريد	m a r iː d
مريد	m a r iː d
مرير	m a r iː r
مريض	m a r iː dˤ
مريلة	m a r iː l a
مريم	m a r iː m
مريمية	m a r iː m iː a
مرينة	m a r iː n a
مريول	m a r iː uː l
مزاد	m a z aː d
مزايدة	m a z aː iː d a
مزبلة	m a z a b a l a
مزج	m a z a d͡ʒ
مزدهر	m a z a d a h a r
مزر	m a z a r
مزراق	m a z a r aː q
مزراق	m a z a r aː q
مزرع	m a z a r a ʕ
مزرعة	m a z a r a ʕ a
مزعج	m a z a ʕ a d͡ʒ
مزغل	m a z a ɣ a l
مزق	m a z a q
مزق	m a z a q
مزمن	m a z a m a n
مزمور	m a z a m uː r
مزواج	m a z uː aː d͡ʒ
مزود	m a z uː d
مزور	m a z uː r
مزور	m a z uː r
مزورة	m a z uː r a
مزين	m a z iː n
مسألة	m a s a ʔa a l a
مسؤول	m a s a ʔu uː l
مسؤولية	m a s a ʔu uː l iː a
مساء	m a s aː ʔ
مسابقة	m a s aː b a q a
مساحة	m a s aː ħ a
مساحة	m a s aː ħ a
مسار	m a s aː r
مساطر	m a s aː tˤ a r
مساعد	m a s aː ʕ a d
مساعدة	m a s aː ʕ a d a
مساعدة	m a s aː ʕ a d a
مسافة	m a s aː f a
مسافر	m a s aː f a r
مساكن	m a s aː k a n
مساكنة	m a s aː k a n a
مسالك	m a s aː l a k
مسامحة	m a s aː m a ħ a
مساهمة	m a s aː h a m a
مساو	m a s aː uː
مساواة	m a s aː uː aː a
مساواتية	m a s aː uː aː t iː a
مساومة	m a s aː uː m a
مسبار	m a s a b aː r
مسبب	m a s a b a b
مسبة	m a s a b a
مستأجر	m a s a t a ʔa a d͡ʒ a r
مستبد	m a s a t a b a d
مستبدل	m a s a t a b a d a l
مستبصر	m a s a t a b a sˤ a r
مستثمر	m a s a t a θ a m a r
مستثنى	m a s a t a θ a n aː
مستجمع	m a s a t a d͡ʒ a m a ʕ
مستجمع	m a s a t a d͡ʒ a m a ʕ
مستحسن	m a s a t a ħ a s a n
مستحضر	m a s a t a ħ a dˤ a r
مستحق	m a s a t a ħ a q
مستحكم	m a s a t a ħ a k a m
مستحلب	m a s a t a ħ a l a b
مستحيل	m a s a t a ħ iː l
مستخدم	m a s a t a x a d a m
مستخدم	m a s a t a x a d a m
مستدير	m a s a t a d iː r
مستراح	m a s a t a r aː ħ
مسترخ	m a s a t a r a x
مستريح	m a s a t a r iː ħ
مستشار	m a s a t a ʃ aː r
مستشرق	m a s a t a ʃ a r a q
مستشفى	m a s a t a ʃ a f aː
مستطيل	m a s a t a tˤ iː l
مستطيلات	m a s a t a tˤ iː l aː t
مستعار	m a s a t a ʕ aː r
مستعجل	m a s a t a ʕ a d͡ʒ a l
مستعجل	m a s a t a ʕ a d͡ʒ a l
مستعرب	m a s a t a ʕ a r a b
مستغرب	m a s a t a ɣ a r a b
مستغرب	m a s a t a ɣ a r a b
مستفرغ	m a s a t a f a r a ɣ
مستفرغ	m a s a t a f a r a ɣ
مستفز	m a s a t a f a z
مستفيد	m a s a t a f iː d
مستقبل	m a s a t a q a b a l
مستقبلي	m a s a t a q a b a l iː
مستقر	m a s a t a q a r
مستقر	m a s a t a q a r
مستقل	m a s a t a q a l
مستقيم	m a s a t a q iː m
مستكبر	m a s a t a k a b a r
مستنبت	m a s a t a n a b a t
مستند	m a s a t a n a d
مستند	m a s a t a n a d
مستنقع	m a s a t a n a q a ʕ
مستنقعات	m a s a t a n a q a ʕ aː t
مستهجن	m a s a t a h a d͡ʒ a n
مستهزئ	m a s a t a h a z a ʔi
مستهلك	m a s a t a h a l a k
مستو	m a s a t uː
مستودع	m a s a t uː d a ʕ
مستوصف	m a s a t uː sˤ a f
مستوف	m a s a t uː f
مستوقد	m a s a t uː q a d
مستول	m a s a t uː l
مسجد	m a s a d͡ʒ a d
مسجل	m a s a d͡ʒ a l
مسحق	m a s a ħ a q
مسحقونيا	m a s a ħ a q uː n iː aː
مسحوق	m a s a ħ uː q
مسخ	m a s a x
مسخرة	m a s a x a r a
مسد	m a s a d
مسد	m a s a d
مسدس	m a s a d a s
مسراق	m a s a r aː q
مسرح	m a s a r a ħ
مسرحي	m a s a r a ħ iː
مسرف	m a s a r a f
مسرور	m a s a r uː r
مسطار	m a s a tˤ aː r
مسطار	m a s a tˤ aː r
مسطح	m a s a tˤ a ħ
مسطرات	m a s a tˤ a r aː t
مسطرة	m a s a tˤ a r a
مسعود	m a s a ʕ uː d
مسعور	m a s a ʕ uː r
مسعى	m a s a ʕ aː
مسقام	m a s a q aː m
مسقط	m a s a q a tˤ
مسقمة	m a s a q a m a
مسقوم	m a s a q uː m
مسقى	m a s a q aː
مسقي	m a s a q iː
مسكان	m a s a k aː n
مسكن	m a s a k a n
مسكن	m a s a k a n
مسكنات	m a s a k a n aː t
مسكنة	m a s a k a n a
مسكوب	m a s a k uː b
مسكوكة	m a s a k uː k a
مسكون	m a s a k uː n
مسكين	m a s a k iː n
مسكين	m a s a k iː n
مسلاط	m a s a l aː tˤ
مسلة	m a s a l a
مسلح	m a s a l a ħ
مسلخ	m a s a l a x
مسلسل	m a s a l a s a l
مسلسل	m a s a l a s a l
مسلط	m a s a l a tˤ
مسلك	m a s a l a k
مسلم	m a s a l a m
مسلم	m a s a l a m
مسلول	m a s a l uː l
مسمار	m a s a m aː r
مسموح	m a s a m uː ħ
مسن	m a s a n
مسن	m a s a n
مسند	m a s a n a d
مسند	m a s a n a d
مسهر	m a s a h a r
مسود	m a s uː d
مسودة	m a s uː d a
مسى	m a s aː
مسيح	m a s iː ħ
مسيحي	m a s iː ħ iː
مشأمة	m a ʃ a ʔa a m a
مشؤوم	m a ʃ a ʔu uː m
مشابه	m a ʃ aː b a h
مشارة	m a ʃ aː r a
مشارك	m a ʃ aː r a k
مشاعر	m a ʃ aː ʕ a r
مشانق	m a ʃ aː n a q
مشاهد	m a ʃ aː h a d
مشاهد	m a ʃ aː h a d
مشاهد	m a ʃ aː h a d
مشاهدة	m a ʃ aː h a d a
مشاهدة	m a ʃ aː h a d a
مشاورة	m a ʃ aː uː r a
مشاوير	m a ʃ aː uː iː r
مشاية	m a ʃ aː iː a
مشبوه	m a ʃ a b uː h
مشتاق	m a ʃ a t aː q
مشترك	m a ʃ a t a r a k
مشترك	m a ʃ a t a r a k
مشتريات	m a ʃ a t a r iː aː t
مشتق	m a ʃ a t a q
مشتك	m a ʃ a t a k
مشتل	m a ʃ a t a l
مشتهر	m a ʃ a t a h a r
مشتى	m a ʃ a t aː
مشجب	m a ʃ a d͡ʒ a b
مشجر	m a ʃ a d͡ʒ a r
مشجر	m a ʃ a d͡ʒ a r
مشحذ	m a ʃ a ħ a ð
مشخص	m a ʃ a x a sˤ
مشرب	m a ʃ a r a b
مشربة	m a ʃ a r a b a
مشربة	m a ʃ a r a b a
مشرع	m a ʃ a r a ʕ
مشرق	m a ʃ a r a q
مشرقان	m a ʃ a r a q aː n
مشرك	m a ʃ a r a k
مشروب	m a ʃ a r uː b
مشروبات	m a ʃ a r uː b aː t
مشروط	m a ʃ a r uː tˤ
مشروع	m a ʃ a r uː ʕ
مشط	m a ʃ a tˤ
مشط	m a ʃ a tˤ
مشط	m a ʃ a tˤ
مشط	m a ʃ a tˤ
مشط	m a ʃ a tˤ
مشعاع	m a ʃ a ʕ aː ʕ
مشعر	m a ʃ a ʕ a r
مشعل	m a ʃ a ʕ a l
مشعل	m a ʃ a ʕ a l
مشغل	m a ʃ a ɣ a l
مشغل	m a ʃ a ɣ a l
مشغلة	m a ʃ a ɣ a l a
مشغول	m a ʃ a ɣ uː l
مشفق	m a ʃ a f a q
مشق	m a ʃ a q
مشق	m a ʃ a q
مشقة	m a ʃ a q a
مشقق	m a ʃ a q a q
مشكل	m a ʃ a k a l
مشكلة	m a ʃ a k a l a
مشكور	m a ʃ a k uː r
مشكوك	m a ʃ a k uː k
مشلول	m a ʃ a l uː l
مشمش	m a ʃ a m a ʃ
مشنة	m a ʃ a n a
مشهد	m a ʃ a h a d
مشهد	m a ʃ a h a d
مشهد	m a ʃ a h a d
مشهور	m a ʃ a h uː r
مشواة	m a ʃ uː aː a
مشوار	m a ʃ uː aː r
مشوه	m a ʃ uː h
مشوه	m a ʃ uː h
مشوي	m a ʃ uː iː
مشى	m a ʃ aː
مشيمة	m a ʃ iː m a
مص	m a sˤ
مص	m a sˤ
مصاب	m a sˤ aː b
مصاب	m a sˤ aː b
مصابحة	m a sˤ aː b a ħ a
مصادف	m a sˤ aː d a f
مصادف	m a sˤ aː d a f
مصادقة	m a sˤ aː d a q a
مصارع	m a sˤ aː r a ʕ
مصانع	m a sˤ aː n a ʕ
مصب	m a sˤ a b
مصبات	m a sˤ a b aː t
مصباح	m a sˤ a b aː ħ
مصبنة	m a sˤ a b a n a
مصحة	m a sˤ a ħ a
مصحح	m a sˤ a ħ a ħ
مصحح	m a sˤ a ħ a ħ
مصحف	m a sˤ a ħ a f
مصحف	m a sˤ a ħ a f
مصحنة	m a sˤ a ħ a n a
مصخفة	m a sˤ a x a f a
مصداقية	m a sˤ a d aː q iː a
مصدق	m a sˤ a d a q
مصدوم	m a sˤ a d uː m
مصر	m a sˤ a r
مصراع	m a sˤ a r aː ʕ
مصرف	m a sˤ a r a f
مصرف	m a sˤ a r a f
مصريات	m a sˤ a r iː aː t
مصطار	m a sˤ a tˤ aː r
مصطكاء	m a sˤ a tˤ a k aː ʔ
مصطكى	m a sˤ a tˤ a k aː
مصطلح	m a sˤ a tˤ a l a ħ
