ء	ʔ
كهرومنزلي	k h r u m n z l iː
كهف	k h f
كهف	k h f
كهنايا	k h n aː j aː
كهنوت	k h n u t
كوابيس	k u aː b i s
كواعب	k u aː ʕ b
كواكب	k u aː k b
كوالا	k u aː l aː
كوب	k u b
كوبا	k u b aː
كوبنهاجن	k u b n h aː dʒ n
كوبنهاجن	k u b n h aː dʒ n
كوبنهاغن	k u b n h aː ɣ n
كوبنهاغن	k u b n h aː ɣ n
كوة	k u a
كوة	k u a
كوثر	k u θ r
كوثر	k u θ r
كوثل	k u θ l
كوج	k u dʒ
كوخ	k u x
كودن	k u d n
كودين	k u d i n
كوذين	k u ð i n
كورال	k u r aː l
كورال	k u r aː l
كورة	k u r a
كوريا	k u r i aː
كوريا	k u r i aː
كوز	k u z
كوس	k u s
كوس	k u s
كوسا	k u s aː
كوستاريكا	k u s t aː r i k aː
كوسج	k u s dʒ
كوسوفو	k u s u f uː
كوسى	k u s aː
كوشاد	k u ʃ aː d
كوع	k u ʕ
كوكب	k u k b
كوكبة	k u k b a
كولان	k u l aː n
كولان	k u l aː n
كولومبو	k u l u m b uː
كولومبو	k u l u m b uː
كولومبيا	k u l u m b i aː
كوم	k u m
كوم	k u m
كوميلا	k u m i l aː
كون	k u n
كون	k u n
كونت	k u n t
كونتية	k u n t i a
كونسرفاتوار	k u n s r f aː t u aː r
كونيغسبرغ	k u n i ɣ s b r ɣ
كونيغسبرغ	k u n i ɣ s b r ɣ
كويكب	k u j k b
كياسة	k i aː s a
كيبك	k i b k
كيد	k i d
كيرلس	k i r l s
كيريباتي	k i r i b aː t iː
كيزون	k i z u n
كيسنجر	k i s n dʒ r
كيشيناو	k i ʃ i n aː uː
كيشينيف	k i ʃ i n i f
كيف	k i f
كيف	k i f
كيف	k i f
كيلوجرام	k i l u dʒ r aː m
كيلوجرام	k i l u dʒ r aː m
كيلوغرام	k i l u ɣ r aː m
كيلوغرام	k i l u ɣ r aː m
كيلومتر	k i l u m t r
كيمياء	k i m i aː ʔ
كينيا	k i n i aː
كينيا	k i n i aː
كيول	k i w l
كييف	k i j f
كييف	k i j f
ل	l
ل	l
ل	l
ل	l
ل	l
لأك	l ʔ a k
لألأ	l ʔ a l ʔ a
لأن	l ʔ a n
لأن	l ʔ a n
لأى	l ʔ a aː
لأى	l ʔ a aː
لأي	l ʔ a iː
لؤلؤ	l ʔ u l ʔ u
لؤلؤ	l ʔ u l ʔ u
لؤلؤة	l ʔ u l ʔ u a
لؤي	l ʔ u iː
لئلا	l ʔ i l aː
لئيم	l ʔ i i m
لا	l aː
لاءم	l aː ʔ m
لاأدري	l aː ʔ a d r iː
لائحة	l aː ʔ i ħ a
لائق	l aː ʔ i q
لائكية	l aː ʔ i k i a
لاتفي	l aː t f iː
لاتفي	l aː t f iː
لاتفيا	l aː t f i aː
لاتفيا	l aː t f i aː
لاث	l aː θ
لاج	l aː dʒ
لاج	l aː dʒ
لاح	l aː ħ
لاحق	l aː ħ q
لاحق	l aː ħ q
لاحم	l aː ħ m
لادن	l aː d n
لاذ	l aː ð
لاذن	l aː ð n
لازوردي	l aː z u r d iː
لاسلطوي	l aː s l tˤ u iː
لاسلطوية	l aː s l tˤ u j a
لاسلكي	l aː s l k iː
لاشعوري	l aː ʃ ʕ u r iː
لاشعوريا	l aː ʃ ʕ u r i aː
لاشى	l aː ʃ aː
لاط	l aː tˤ
لاطف	l aː tˤ f
لاطف	l aː tˤ f
لاعب	l aː ʕ b
لاعب	l aː ʕ b
لاعية	l aː ʕ i a
لاغب	l aː ɣ b
لاغية	l aː ɣ i a
لافتة	l aː f t a
لام	l aː m
لام	l aː m
لامبالاة	l aː m b aː l aː a
لاهاي	l aː h aː iː
لاهوت	l aː h u t
لاهوتي	l aː h u t iː
لاهور	l aː h u r
لاوس	l aː w s
لاوس	l aː w s
لاوعي	l aː w ʕ iː
لاوى	l aː w aː
لبأ	l b ʔ a
لبادة	l b aː d a
لبادة	l b aː d a
لباس	l b aː s
لبان	l b aː n
لبان	l b aː n
لبس	l b s
لبسة	l b s a
لبلاب	l b l aː b
لبلابي	l b l aː b iː
لبلبي	l b l b iː
لبن	l b n
لبنان	l b n aː n
لبني	l b n iː
لبوس	l b u s
لبى	l b aː
لتواني	l t u aː n iː
لتواني	l t u aː n iː
لتوانيا	l t u aː n i aː
لثة	l θ a
لثغة	l θ ɣ a
لثم	l θ m
لثوي	l θ u iː
لج	l dʒ
لج	l dʒ
لجأ	l dʒ ʔ a
لجأة	l dʒ ʔ a a
لجئ	l dʒ ʔ i
لجام	l dʒ aː m
لجلج	l dʒ l dʒ
لجنة	l dʒ n a
لجنة	l dʒ n a
لجنة	l dʒ n a
لجوء	l dʒ u ʔ
لجي	l dʒ iː
لجين	l dʒ i n
لحاء	l ħ aː ʔ
لحاظ	l ħ aː ðˤ
لحاف	l ħ aː f
لحاق	l ħ aː q
لحج	l ħ dʒ
لحج	l ħ dʒ
لحد	l ħ d
لحظ	l ħ ðˤ
لحظ	l ħ ðˤ
لحظة	l ħ ðˤ a
لحظتذاك	l ħ ðˤ t ð aː k
لحظي	l ħ ðˤ iː
لحق	l ħ q
لحق	l ħ q
لحلاح	l ħ l aː ħ
لحم	l ħ m
لحوج	l ħ u dʒ
لحي	l ħ iː
لحية	l ħ i a
لدغ	l d ɣ
لذلك	l ð l k
لذيذ	l ð i ð
لزاق	l z aː q
لزج	l z dʒ
لزج	l z dʒ
لزق	l z q
لزق	l z q
لزق	l z q
لزوجة	l z u dʒ a
لسان	l s aː n
لسانيات	l s aː n i aː t
لسع	l s ʕ
لشبونة	l ʃ b u n a
لص	l sˤ
لصاق	l sˤ aː q
لصف	l sˤ f
لصق	l sˤ q
لصق	l sˤ q
لطافة	l tˤ aː f a
لطفا	l tˤ f aː
لطم	l tˤ m
لطيف	l tˤ i f
لطيفة	l tˤ i f a
لعب	l ʕ b
لعبة	l ʕ b a
لعبة	l ʕ b a
لعل	l ʕ l
لعل	l ʕ l
لعلما	l ʕ l m aː
لعنة	l ʕ n a
لغة	l ɣ a
لغط	l ɣ tˤ
لغط	l ɣ tˤ
لغويات	l ɣ u j aː t
لفافة	l f aː f a
لفظا	l f ðˤ aː
لفظة	l f ðˤ a
لفظي	l f ðˤ iː
لفف	l f f
لفيف	l f i f
لفيف	l f i f
لفيفة	l f i f a
لقاح	l q aː ħ
لقاح	l q aː ħ
لقب	l q b
لقب	l q b
لقح	l q ħ
لقد	l q d
لقمان	l q m aː n
لقمة	l q m a
لقنت	l q n t
لقوة	l q u a
لقيا	l q i aː
لقيمة	l q i m a
لك	l k
لكز	l k z
لكز	l k z
لكم	l k m
لكمة	l k m a
لكن	l k n
لكن	l k n
لكنة	l k n a
لكنما	l k n m aː
للأسف	l l ʔ a s f
للغاية	l l ɣ aː j a
لله	l l h
لله	l l h
لله	l l h
لم	l m
لم	l m
لم	l m
لماذا	l m aː ð aː
لمح	l m ħ
لمح	l m ħ
لمس	l m s
لمع	l m ʕ
لمع	l m ʕ
لمعان	l m ʕ aː n
لمن	l m n
لمن	l m n
لمن	l m n
لمى	l m aː
لمى	l m aː
لن	l n
لندن	l n d n
لندن	l n d n
لندني	l n d n iː
لندني	l n d n iː
لها	l h aː
لهاة	l h aː a
لهاث	l h aː θ
لهب	l h b
لهب	l h b
لهب	l h b
لهبان	l h b aː n
لهبان	l h b aː n
لهث	l h θ
لهجة	l h dʒ a
لهجة	l h dʒ a
لهجة	l h dʒ a
لهجة	l h dʒ a
لهجة	l h dʒ a
لهذا	l h ð aː
لهفة	l h f a
لهق	l h q
لهوي	l h u iː
لهى	l h aː
لهي	l h iː
لهيب	l h i b
لو	l uː
لواء	l u aː ʔ
لواء	l u aː ʔ
لواط	l u aː tˤ
لوح	l u ħ
لوح	l u ħ
لوحة	l u ħ a
لورد	l u r d
لوز	l u z
لوزينج	l u z i n dʒ
لوزينق	l u z i n q
لوسيل	l u s i l
لوط	l u tˤ
لوطي	l u tˤ iː
لوعة	l u ʕ a
لوكسمبورغ	l u k s m b u r ɣ
لوكسمبورغ	l u k s m b u r ɣ
لوكسمبورغ	l u k s m b u r ɣ
لولا	l u l aː
لوما	l u m aː
لومي	l u m iː
لومي	l u m iː
لون	l u n
لون	l u n
لونيات	l u n i aː t
لونية	l u n i a
لوى	l u aː
لوياثان	l u j aː θ aː n
ليال	l i aː l
ليبيا	l i b i aː
ليبيريا	l i b i r i aː
لية	l i a
ليت	l i t
ليتما	l i t m aː
ليث	l i θ
ليختنشتاين	l i x t n ʃ t aː j n
ليرة	l i r a
ليرون	l i r u n
ليرون	l i r u n
ليزر	l i z r
ليزر	l i z r
ليس	l i s
ليس	l i s
ليسوتو	l i s u t uː
ليل	l i l
ليلا	l i l aː
ليلة	l i l a
ليلتذاك	l i l t ð aː k
ليلك	l i l k
ليلك	l i l k
ليلى	l i l aː
ليلي	l i l iː
ليمو	l i m uː
ليمو	l i m uː
ليمون	l i m u n
ليموني	l i m u n iː
ليمي	l i m iː
لينينية	l i n i n i a
م	m
م	m
مآزق	m ʔ aː z q
مأجوج	m ʔ a dʒ u dʒ
مأجور	m ʔ a dʒ u r
مأدبة	m ʔ a d b a
مأذون	m ʔ a ð u n
مأرب	m ʔ a r b
مأزق	m ʔ a z q
مأساة	m ʔ a s aː a
مأساة	m ʔ a s aː a
مأقى	m ʔ a q aː
مأكول	m ʔ a k u l
مأكولات	m ʔ a k u l aː t
مأمأة	m ʔ a m ʔ a a
مأمن	m ʔ a m n
مأمور	m ʔ a m u r
مأوى	m ʔ a u aː
مؤاجرة	m ʔ u aː dʒ r a
مؤاخاة	m ʔ u aː x aː a
مؤامرة	m ʔ u aː m r a
مؤبد	m ʔ u b d
مؤبد	m ʔ u b d
مؤتمر	m ʔ u t m r
مؤثر	m ʔ u θ r
مؤثر	m ʔ u θ r
مؤدب	m ʔ u d b
مؤدب	m ʔ u d b
مؤذن	m ʔ u ð n
مؤسس	m ʔ u s s
مؤسس	m ʔ u s s
مؤسسة	m ʔ u s s a
مؤسسة	m ʔ u s s a
مؤسف	m ʔ u s f
مؤشر	m ʔ u ʃ r
مؤقتا	m ʔ u q t aː
مؤلف	m ʔ u l f
مؤلف	m ʔ u l f
مؤمن	m ʔ u m n
مؤمن	m ʔ u m n
مؤمنشاهي	m ʔ u m n ʃ aː h iː
مؤنث	m ʔ u n θ
مؤنس	m ʔ u n s
مئبر	m ʔ i b r
مئة	m ʔ i a
مئذنة	m ʔ i ð n a
مئق	m ʔ i q
ما	m aː
ماء	m aː ʔ
ماء	m aː ʔ
مائة	m aː ʔ i a
مائة	m aː ʔ i a
مائت	m aː ʔ i t
مائدة	m aː ʔ i d a
مائل	m aː ʔ i l
مائي	m aː ʔ i iː
مات	m aː t
مات	m aː t
ماثل	m aː θ l
ماجد	m aː dʒ d
ماجور	m aː dʒ u r
ماحق	m aː ħ q
ماخور	m aː x u r
مادة	m aː d a
ماديا	m aː d i aː
ماذا	m aː ð aː
مار	m aː r
مار	m aː r
مار	m aː r
ماردين	m aː r d i n
ماردين	m aː r d i n
ماردين	m aː r d i n
مارس	m aː r s
مارس	m aː r s
مارس	m aː r s
مارطو	m aː r tˤ uː
ماركة	m aː r k a
ماركسية	m aː r k s i a
ماركسية	m aː r k s i a
مارون	m aː r u n
مارون	m aː r u n
ماز	m aː z
مازج	m aː z dʒ
مازريون	m aː z r i w n
مازريون	m aː z r i w n
مازوت	m aː z u t
مازوخية	m aː z u x i a
مازوكية	m aː z u k i a
ماسة	m aː s a
ماسح	m aː s ħ
ماسورة	m aː s u r a
ماسوشية	m aː s u ʃ i a
ماشية	m aː ʃ i a
ماض	m aː dˤ
ماطل	m aː tˤ l
ماعون	m aː ʕ u n
ماعونة	m aː ʕ u n a
ماكر	m aː k r
مال	m aː l
مال	m aː l
مالاوي	m aː l aː w iː
مالج	m aː l dʒ
مالح	m aː l ħ
مالديفز	m aː l d i f z
مالطا	m aː l tˤ aː
مالطا	m aː l tˤ aː
مالطا	m aː l tˤ aː
مالطا	m aː l tˤ aː
مالطي	m aː l tˤ iː
مالق	m aː l q
مالقة	m aː l q a
مالك	m aː l k
مالكي	m aː l k iː
مالي	m aː l iː
مالية	m aː l i a
ماليزيا	m aː l i z i aː
ماما	m aː m aː
ماموث	m aː m u θ
ماميثا	m aː m i θ aː
ماميران	m aː m i r aː n
مان	m aː n
مانشيت	m aː n ʃ i t
مانشيت	m aː n ʃ i t
مانشيت	m aː n ʃ i t
مانيلا	m aː n i l aː
ماه	m aː h
ماهاراجا	m aː h aː r aː dʒ aː
ماهر	m aː h r
ماهية	m aː h i a
ماو	m aː uː
ماوي	m aː w iː
ماي	m aː iː
مايه	m aː j h
مايو	m aː j uː
مباح	m b aː ħ
مباحثة	m b aː ħ θ a
مبادرة	m b aː d r a
مباراة	m b aː r aː a
مبارز	m b aː r z
مبارز	m b aː r z
مبارزة	m b aː r z a
مبارك	m b aː r k
مبارك	m b aː r k
مباغت	m b aː ɣ t
مباغت	m b aː ɣ t
مباغتة	m b aː ɣ t a
مباغتة	m b aː ɣ t a
مبالغة	m b aː l ɣ a
مبتل	m b t l
مبتلى	m b t l aː
مبجل	m b dʒ l
مبدأ	m b d ʔ a
مبدئيا	m b d ʔ i i aː
مبذر	m b ð r
مبرة	m b r a
مبرد	m b r d
مبرد	m b r d
مبرد	m b r d
مبرهنة	m b r h n a
مبسط	m b s tˤ
مبشر	m b ʃ r
مبشرة	m b ʃ r a
مبصر	m b sˤ r
مبطل	m b tˤ l
مبكر	m b k r
مبكرا	m b k r aː
مبلغ	m b l ɣ
مبلغ	m b l ɣ
مبهم	m b h m
مبين	m b i n
مبين	m b i n
مبين	m b i n
مت	m t
متأثر	m t ʔ a θ r
متأخرا	m t ʔ a x r aː
متأسف	m t ʔ a s f
متأن	m t ʔ a n
متأهل	m t ʔ a h l
متاح	m t aː ħ
متارك	m t aː r k
متاركة	m t aː r k a
متاع	m t aː ʕ
متانة	m t aː n a
متبسم	m t b s m
متبل	m t b l
متة	m t a
متتابع	m t t aː b ʕ
متتال	m t t aː l
متجاوز	m t dʒ aː w z
متجر	m t dʒ r
متحد	m t ħ d
متحرك	m t ħ r k
متحف	m t ħ f
متحف	m t ħ f
متحكم	m t ħ k m
متحكم	m t ħ k m
متحمس	m t ħ m s
متخاصم	m t x aː sˤ m
متخصص	m t x sˤ sˤ
متخف	m t x f
متخلف	m t x l f
متخلف	m t x l f
متدافق	m t d aː f q
متدفق	m t d f q
متدين	m t d i n
متر	m t r
متراس	m t r aː s
مترجم	m t r dʒ m
مترجم	m t r dʒ m
متردد	m t r d d
متروك	m t r u k
متزاوج	m t z aː w dʒ
متزوج	m t z u dʒ
متسابق	m t s aː b q
متسامح	m t s aː m ħ
متساهل	m t s aː h l
متساو	m t s aː uː
متسلط	m t s l tˤ
متسول	m t s u l
متشابه	m t ʃ aː b h
متشكر	m t ʃ k r
متصل	m t sˤ l
متصور	m t sˤ u r
متصور	m t sˤ u r
متطرف	m t tˤ r f
متظاهر	m t ðˤ aː h r
متعاقب	m t ʕ aː q b
متعب	m t ʕ b
متعة	m t ʕ a
متعجرف	m t ʕ dʒ r f
متعد	m t ʕ d
متعدد	m t ʕ d d
متعدي	m t ʕ d iː
متعصب	m t ʕ sˤ b
متعفن	m t ʕ f n
متعقب	m t ʕ q b
متعلق	m t ʕ l q
متعلم	m t ʕ l m
متعهد	m t ʕ h d
متغلب	m t ɣ l b
متغلبة	m t ɣ l b a
متغير	m t ɣ i r
متفجرات	m t f dʒ r aː t
متفرغ	m t f r ɣ
متفرق	m t f r q
متفرقات	m t f r q aː t
متفق	m t f q
متفق	m t f q
متفكر	m t f k r
متقابل	m t q aː b l
متقاعد	m t q aː ʕ d
متكامل	m t k aː m l
متكبر	m t k b r
متكدس	m t k d s
متكلم	m t k l m
متلوث	m t l u θ
متلون	m t l u n
متماد	m t m aː d
متماد	m t m aː d
متمرد	m t m r d
متميز	m t m i z
متناسب	m t n aː s b
متناول	m t n aː w l
متناول	m t n aː w l
متنح	m t n ħ
متنزه	m t n z h
متنزه	m t n z h
متنقض	m t n q dˤ
متنوع	m t n u ʕ
متواصل	m t u aː sˤ l
متواضع	m t u aː dˤ ʕ
متوال	m t u aː l
متوج	m t u dʒ
متوسط	m t u s tˤ
متوصل	m t u sˤ l
متوفر	m t u f r
متوفى	m t u f aː
متوكل	m t u k l
متول	m t u l
متولد	m t u l d
متى	m t aː
متى	m t aː
متين	m t i n
مثابة	m θ aː b a
مثار	m θ aː r
مثال	m θ aː l
مثانة	m θ aː n a
مثبت	m θ b t
مثبت	m θ b t
مثبت	m θ b t
مثبت	m θ b t
مثبط	m θ b tˤ
مثرد	m θ r d
مثرد	m θ r d
مثقال	m θ q aː l
مثقب	m θ q b
مثلا	m θ l aː
مثلث	m θ l θ
مثلجات	m θ l dʒ aː t
مثلجة	m θ l dʒ a
مثلي	m θ l iː
مثمر	m θ m r
مثنان	m θ n aː n
مثنان	m θ n aː n
مثنوي	m θ n u iː
مثنوية	m θ n u j a
مثير	m θ i r
مجادلة	m dʒ aː d l a
مجاز	m dʒ aː z
مجازاة	m dʒ aː z aː a
مجازر	m dʒ aː z r
مجازفة	m dʒ aː z f a
مجازي	m dʒ aː z iː
مجازيا	m dʒ aː z i aː
مجاعة	m dʒ aː ʕ a
مجال	m dʒ aː l
مجالد	m dʒ aː l d
مجاهد	m dʒ aː h d
مجاهر	m dʒ aː h r
مجاهرة	m dʒ aː h r a
مجاور	m dʒ aː w r
مجبور	m dʒ b u r
مجدد	m dʒ d d
مجددا	m dʒ d d aː
مجر	m dʒ r
مجراف	m dʒ r aː f
مجرب	m dʒ r b
مجرة	m dʒ r a
مجرد	m dʒ r d
مجرفة	m dʒ r f a
مجرم	m dʒ r m
مجري	m dʒ r iː
مجري	m dʒ r iː
مجريط	m dʒ r i tˤ
مجزر	m dʒ z r
مجزرة	m dʒ z r a
مجس	m dʒ s
مجس	m dʒ s
مجس	m dʒ s
مجسم	m dʒ s m
مجسمة	m dʒ s m a
مجفل	m dʒ f l
مجفل	m dʒ f l
مجل	m dʒ l
مجل	m dʒ l
مجلة	m dʒ l a
مجلخة	m dʒ l x a
مجلس	m dʒ l s
مجلى	m dʒ l aː
مجمد	m dʒ m d
مجمر	m dʒ m r
مجمر	m dʒ m r
مجمع	m dʒ m ʕ
مجمع	m dʒ m ʕ
مجموع	m dʒ m u ʕ
مجموعة	m dʒ m u ʕ a
مجن	m dʒ n
مجنون	m dʒ n u n
مجنون	m dʒ n u n
مجنون	m dʒ n u n
مجهر	m dʒ h r
مجهز	m dʒ h z
مجهود	m dʒ h u d
مجهور	m dʒ h u r
مجوهرات	m dʒ u h r aː t
مجيء	m dʒ i ʔ
محا	m ħ aː
محادث	m ħ aː d θ
محادث	m ħ aː d θ
محادثة	m ħ aː d θ a
محادثة	m ħ aː d θ a
محاذاة	m ħ aː ð aː a
محار	m ħ aː r
محارب	m ħ aː r b
محاربة	m ħ aː r b a
محاسبة	m ħ aː s b a
محاصر	m ħ aː sˤ r
محاصر	m ħ aː sˤ r
محاصرة	m ħ aː sˤ r a
محاضر	m ħ aː dˤ r
محاضر	m ħ aː dˤ r
محافظ	m ħ aː f ðˤ
محافظ	m ħ aː f ðˤ
محافظ	m ħ aː f ðˤ
محافظة	m ħ aː f ðˤ a
محافظة	m ħ aː f ðˤ a
محاق	m ħ aː q
محاق	m ħ aː q
محاق	m ħ aː q
محاق	m ħ aː q
محاقر	m ħ aː q r
محاكمة	m ħ aː k m a
محام	m ħ aː m
محاور	m ħ aː w r
محاور	m ħ aː w r
محاولة	m ħ aː w l a
محايد	m ħ aː j d
محب	m ħ b
محب	m ħ b
محبة	m ħ b a
محبة	m ħ b a
محبة	m ħ b a
محبس	m ħ b s
محبس	m ħ b s
محبس	m ħ b s
محبوس	m ħ b u s
محتاج	m ħ t aː dʒ
محتار	m ħ t aː r
محترف	m ħ t r f
محترم	m ħ t r m
محترم	m ħ t r m
محتشم	m ħ t ʃ m
محتكر	m ħ t k r
محتمل	m ħ t m l
محتويات	m ħ t u j aː t
محجم	m ħ dʒ m
محجمة	m ħ dʒ m a
محجوب	m ħ dʒ u b
محدث	m ħ d θ
محدلة	m ħ d l a
محدود	m ħ d u d
محراب	m ħ r aː b
محراث	m ħ r aː θ
محراث	m ħ r aː θ
محرر	m ħ r r
محرر	m ħ r r
محرقة	m ħ r q a
محرقة	m ħ r q a
محرك	m ħ r k
محركات	m ħ r k aː t
محرم	m ħ r m
محروق	m ħ r u q
محروقات	m ħ r u q aː t
محروم	m ħ r u m
محزون	m ħ z u n
محسة	m ħ s a
محسن	m ħ s n
محسن	m ħ s n
محسن	m ħ s n
محشى	m ħ ʃ aː
محصل	m ħ sˤ l
محصل	m ħ sˤ l
محصلة	m ħ sˤ l a
محصن	m ħ sˤ n
محصور	m ħ sˤ u r
محطة	m ħ tˤ a
محظور	m ħ ðˤ u r
محفظة	m ħ f ðˤ a
محفظة	m ħ f ðˤ a
محفوظ	m ħ f u ðˤ
محقر	m ħ q r
محقر	m ħ q r
محقق	m ħ q q
محقق	m ħ q q
محقق	m ħ q q
محكم	m ħ k m
محكمة	m ħ k m a
محكوم	m ħ k u m
محكومية	m ħ k u m i a
محل	m ħ l
محلي	m ħ l iː
محمد	m ħ m d
محمد	m ħ m d
محمد	m ħ m d
محمدة	m ħ m d a
محمدة	m ħ m d a
محمدة	m ħ m d a
محمر	m ħ m r
محموم	m ħ m u m
محمية	m ħ m i a
محن	m ħ n
محنة	m ħ n a
محو	m ħ uː
محول	m ħ u l
محى	m ħ aː
محيار	m ħ i aː r
محيص	m ħ i sˤ
محيط	m ħ i tˤ
محيل	m ħ i l
محيي	m ħ i iː
مخ	m x
مخاصم	m x aː sˤ m
مخاصمة	m x aː sˤ m a
مخاض	m x aː dˤ
مخاط	m x aː tˤ
مخاطر	m x aː tˤ r
مخافة	m x aː f a
مخالف	m x aː l f
مخالفة	m x aː l f a
مخبأ	m x b ʔ a
مخبر	m x b r
مخبر	m x b r
مخبز	m x b z
مخبز	m x b z
مخبول	m x b u l
مختار	m x t aː r
مختبئ	m x t b ʔ i
مختبر	m x t b r
مخترق	m x t r q
مخترق	m x t r q
مختص	m x t sˤ
مختصر	m x t sˤ r
مختصر	m x t sˤ r
مختصم	m x t sˤ m
مختف	m x t f
مختلط	m x t l tˤ
مختلف	m x t l f
مخدر	m x d r
مخدرات	m x d r aː t
مخدوم	m x d u m
مخراق	m x r aː q
مخرب	m x r b
مخرب	m x r b
مخرج	m x r dʒ
مخرج	m x r dʒ
مخرج	m x r dʒ
مخرج	m x r dʒ
مخرج	m x r dʒ
مخرز	m x r z
مخرفة	m x r f a
مخروطي	m x r u tˤ iː
مخزن	m x z n
مخزون	m x z u n
مخصص	m x sˤ sˤ
مخصصات	m x sˤ sˤ aː t
مخصوص	m x sˤ u sˤ
مخصوم	m x sˤ u m
مخض	m x dˤ
مخطئ	m x tˤ ʔ i
مخطوب	m x tˤ u b
مخطوطة	m x tˤ u tˤ a
مخفر	m x f r
مخفي	m x f iː
مخلاة	m x l aː a
مخلة	m x l a
مخلة	m x l a
مخلص	m x l sˤ
مخلص	m x l sˤ
مخلص	m x l sˤ
مخلوط	m x l u tˤ
مخلوق	m x l u q
مخلوق	m x l u q
مخلوقات	m x l u q aː t
مخمل	m x m l
مخمن	m x m n
مخمور	m x m u r
مخنث	m x n θ
مخيط	m x i tˤ
مخيف	m x i f
مخيم	m x i m
مداخل	m d aː x l
مداخل	m d aː x l
مداخل	m d aː x l
مداخلة	m d aː x l a
مداد	m d aː d
مدار	m d aː r
مدافع	m d aː f ʕ
مدافعة	m d aː f ʕ a
مدام	m d aː m
مداولة	m d aː w l a
مداوم	m d aː w m
مداومة	m d aː w m a
مدبر	m d b r
مدبغة	m d b ɣ a
مدة	m d a
مدة	m d a
مدة	m d a
مدثر	m d θ r
مدحلة	m d ħ l a
مدخن	m d x n
مدخول	m d x u l
مدرسة	m d r s a
مدرسة	m d r s a
مدرسة	m d r s a
مدرك	m d r k
مدرك	m d r k
مدريد	m d r i d
مدع	m d ʕ
مدعو	m d ʕ uː
مدعى	m d ʕ aː
مدغشقر	m d ɣ ʃ q r
مدفأ	m d f ʔ a
مدفأة	m d f ʔ a a
مدفع	m d f ʕ
مدفع	m d f ʕ
مدفون	m d f u n
مدق	m d q
مدقة	m d q a
مدك	m d k
مدلجة	m d l dʒ a
مدني	m d n iː
مدنية	m d n i a
مدهش	m d h ʃ
مدهش	m d h ʃ
مدور	m d u r
مدير	m d i r
مديرة	m d i r a
مديرية	m d i r i a
مدينة	m d i n a
مديني	m d i n iː
مديونير	m d i w n i r
مذئذ	m ð ʔ i ð
مذاق	m ð aː q
مذاق	m ð aː q
مذاك	m ð aː k
مذاكرات	m ð aː k r aː t
مذاكرة	m ð aː k r a
مذبحة	m ð b ħ a
مذخر	m ð x r
مذعان	m ð ʕ aː n
مذكر	m ð k r
مذكر	m ð k r
مذكرة	m ð k r a
مذكرة	m ð k r a
مذكور	m ð k u r
مذلول	m ð l u l
مذهب	m ð h b
مذهب	m ð h b
مذهب	m ð h b
مذهب	m ð h b
مذهب	m ð h b
مذهب	m ð h b
مذهبي	m ð h b iː
مذهل	m ð h l
مذي	m ð iː
مذيع	m ð i ʕ
مر	m r
مرآة	m r ʔ aː a
مرأب	m r ʔ a b
مرأة	m r ʔ a a
مرؤوس	m r ʔ u u s
مراء	m r aː ʔ
مراء	m r aː ʔ
مراء	m r aː ʔ
مراجع	m r aː dʒ ʕ
مراجع	m r aː dʒ ʕ
مرادف	m r aː d f
مرارة	m r aː r a
مرارة	m r aː r a
مراري	m r aː r iː
مراسل	m r aː s l
مراسم	m r aː s m
مراغة	m r aː ɣ a
مرافق	m r aː f q
مرافق	m r aː f q
مراقبة	m r aː q b a
مراكش	m r aː k ʃ
مرام	m r aː m
مران	m r aː n
مراهق	m r aː h q
مراهقة	m r aː h q a
مراوغ	m r aː w ɣ
مراوغة	m r aː w ɣ a
مرب	m r b
مربض	m r b dˤ
مربط	m r b tˤ
مربع	m r b ʕ
مربوط	m r b u tˤ
مربى	m r b aː
مربي	m r b iː
مربية	m r b i a
مرة	m r a
مرة	m r a
مرة	m r a
مرتبة	m r t b a
مرتد	m r t d
مرتع	m r t ʕ
مرتعب	m r t ʕ b
مرتفع	m r t f ʕ
مرتفع	m r t f ʕ
مرثية	m r θ i a
مرجان	m r dʒ aː n
مرجع	m r dʒ ʕ
مرجل	m r dʒ l
مرحاض	m r ħ aː dˤ
مرحبا	m r ħ b aː
مرحبا	m r ħ b aː
مرحلة	m r ħ l a
مرحمة	m r ħ m a
مرحوم	m r ħ u m
مرحومة	m r ħ u m a
مرددوش	m r d d u ʃ
مردقوش	m r d q u ʃ
مردود	m r d u d
مردي	m r d iː
مرزبان	m r z b aː n
مرزبان	m r z b aː n
مرزبة	m r z b a
مرزبة	m r z b a
مرزبة	m r z b a
مرزبة	m r z b a
مرزنجوش	m r z n dʒ u ʃ
مرس	m r s
مرس	m r s
مرسة	m r s a
مرسم	m r s m
مرسوم	m r s u m
مرسين	m r s i n
مرش	m r ʃ
مرش	m r ʃ
مرشة	m r ʃ a
مرشد	m r ʃ d
مرصبان	m r sˤ b aː n
مرصد	m r sˤ d
مرض	m r dˤ
مرطبان	m r tˤ b aː n
مرعش	m r ʕ ʃ
مرعى	m r ʕ aː
مرفأ	m r f ʔ a
مرفه	m r f h
مرفه	m r f h
مرفوع	m r f u ʕ
مرقاس	m r q aː s
مرقاس	m r q aː s
مرقاس	m r q aː s
مرقاق	m r q aː q
مرقة	m r q a
مرقد	m r q d
مرقس	m r q s
مرقشيتا	m r q ʃ i t aː
مرقشيثا	m r q ʃ i θ aː
مرقص	m r q sˤ
